Teacher,Subject,Class,Hours,Shift,Subgroup,RoomType
Учитель_Інформатика_154,Інформатика,1-К,2,1,2,it
Учитель_Укр. мова_170,Укр. мова,2-А,3,1,whole,standard
Учитель_Математика_167,Математика,2-А,4,1,whole,standard
Учитель_Англ. мова_132,Англ. мова,2-А,3,1,1,standard
Учитель_Англ. мова_113,Англ. мова,2-А,3,1,2,standard
Учитель_Фізична культура_115,Фізична культура,2-А,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,2-А,2,1,1,it
Учитель_Інформатика_100,Інформатика,2-А,2,1,2,it
Учитель_Укр. мова_170,Укр. мова,2-Б,3,1,whole,standard
Учитель_Математика_142,Математика,2-Б,4,1,whole,standard
Учитель_Англ. мова_97,Англ. мова,2-Б,3,1,1,standard
Учитель_Англ. мова_83,Англ. мова,2-Б,3,1,2,standard
Учитель_Фізична культура_104,Фізична культура,2-Б,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,2-Б,2,1,1,it
Учитель_Інформатика_19,Інформатика,2-Б,2,1,2,it
Учитель_Укр. мова_166,Укр. мова,2-В,3,1,whole,standard
Учитель_Математика_101,Математика,2-В,4,1,whole,standard
Учитель_Англ. мова_79,Англ. мова,2-В,3,1,1,standard
Учитель_Англ. мова_77,Англ. мова,2-В,3,1,2,standard
Учитель_Фізична культура_87,Фізична культура,2-В,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,2-В,2,1,1,it
Учитель_Інформатика_74,Інформатика,2-В,2,1,2,it
Учитель_Укр. мова_149,Укр. мова,2-Г,3,1,whole,standard
Учитель_Математика_47,Математика,2-Г,4,1,whole,standard
Учитель_Англ. мова_66,Англ. мова,2-Г,3,1,1,standard
Учитель_Англ. мова_18,Англ. мова,2-Г,3,1,2,standard
Учитель_Фізична культура_53,Фізична культура,2-Г,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,2-Г,2,1,1,it
Учитель_Інформатика_151,Інформатика,2-Г,2,1,2,it
Учитель_Укр. мова_131,Укр. мова,2-Д,3,1,whole,standard
Учитель_Математика_21,Математика,2-Д,4,1,whole,standard
Учитель_Англ. мова_13,Англ. мова,2-Д,3,1,1,standard
Учитель_Англ. мова_8,Англ. мова,2-Д,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,2-Д,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,2-Д,2,1,1,it
Учитель_Інформатика_155,Інформатика,2-Д,2,1,2,it
Учитель_Укр. мова_50,Укр. мова,2-Е,3,1,whole,standard
Учитель_Математика_14,Математика,2-Е,4,1,whole,standard
Учитель_Англ. мова_8,Англ. мова,2-Е,3,1,1,standard
Учитель_Англ. мова_13,Англ. мова,2-Е,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,2-Е,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,2-Е,2,1,1,it
Учитель_Інформатика_154,Інформатика,2-Е,2,1,2,it
Учитель_Укр. мова_48,Укр. мова,2-Ж,3,1,whole,standard
Учитель_Математика_5,Математика,2-Ж,4,1,whole,standard
Учитель_Англ. мова_18,Англ. мова,2-Ж,3,1,1,standard
Учитель_Англ. мова_66,Англ. мова,2-Ж,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,2-Ж,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,2-Ж,2,1,1,it
Учитель_Інформатика_100,Інформатика,2-Ж,2,1,2,it
Учитель_Укр. мова_36,Укр. мова,2-З,3,1,whole,standard
Учитель_Математика_4,Математика,2-З,4,1,whole,standard
Учитель_Англ. мова_77,Англ. мова,2-З,3,1,1,standard
Учитель_Англ. мова_79,Англ. мова,2-З,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,2-З,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,2-З,2,1,1,it
Учитель_Інформатика_19,Інформатика,2-З,2,1,2,it
Учитель_Укр. мова_25,Укр. мова,2-И,3,1,whole,standard
Учитель_Математика_4,Математика,2-И,4,1,whole,standard
Учитель_Англ. мова_83,Англ. мова,2-И,3,1,1,standard
Учитель_Англ. мова_97,Англ. мова,2-И,3,1,2,standard
Учитель_Фізична культура_53,Фізична культура,2-И,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,2-И,2,1,1,it
Учитель_Інформатика_74,Інформатика,2-И,2,1,2,it
Учитель_Укр. мова_24,Укр. мова,2-К,3,1,whole,standard
Учитель_Математика_5,Математика,2-К,4,1,whole,standard
Учитель_Англ. мова_113,Англ. мова,2-К,3,1,1,standard
Учитель_Англ. мова_132,Англ. мова,2-К,3,1,2,standard
Учитель_Фізична культура_87,Фізична культура,2-К,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,2-К,2,1,1,it
Учитель_Інформатика_151,Інформатика,2-К,2,1,2,it
Учитель_Укр. мова_23,Укр. мова,3-А,3,1,whole,standard
Учитель_Математика_14,Математика,3-А,4,1,whole,standard
Учитель_Англ. мова_136,Англ. мова,3-А,3,1,1,standard
Учитель_Англ. мова_140,Англ. мова,3-А,3,1,2,standard
Учитель_Фізична культура_104,Фізична культура,3-А,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,3-А,2,1,1,it
Учитель_Інформатика_155,Інформатика,3-А,2,1,2,it
Учитель_Укр. мова_1,Укр. мова,3-Б,3,1,whole,standard
Учитель_Математика_21,Математика,3-Б,4,1,whole,standard
Учитель_Англ. мова_144,Англ. мова,3-Б,3,1,1,standard
Учитель_Англ. мова_146,Англ. мова,3-Б,3,1,2,standard
Учитель_Фізична культура_115,Фізична культура,3-Б,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,3-Б,2,1,1,it
Учитель_Інформатика_154,Інформатика,3-Б,2,1,2,it
Учитель_Укр. мова_1,Укр. мова,3-В,3,1,whole,standard
Учитель_Математика_47,Математика,3-В,4,1,whole,standard
Учитель_Англ. мова_156,Англ. мова,3-В,3,1,1,standard
Учитель_Англ. мова_156,Англ. мова,3-В,3,1,2,standard
Учитель_Фізична культура_117,Фізична культура,3-В,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,3-В,2,1,1,it
Учитель_Інформатика_100,Інформатика,3-В,2,1,2,it
Учитель_Укр. мова_23,Укр. мова,3-Г,3,1,whole,standard
Учитель_Математика_101,Математика,3-Г,4,1,whole,standard
Учитель_Англ. мова_146,Англ. мова,3-Г,3,1,1,standard
Учитель_Англ. мова_144,Англ. мова,3-Г,3,1,2,standard
Учитель_Фізична культура_128,Фізична культура,3-Г,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,3-Г,2,1,1,it
Учитель_Інформатика_19,Інформатика,3-Г,2,1,2,it
Учитель_Укр. мова_24,Укр. мова,3-Д,3,1,whole,standard
Учитель_Математика_142,Математика,3-Д,4,1,whole,standard
Учитель_Англ. мова_140,Англ. мова,3-Д,3,1,1,standard
Учитель_Англ. мова_136,Англ. мова,3-Д,3,1,2,standard
Учитель_Фізична культура_128,Фізична культура,3-Д,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,3-Д,2,1,1,it
Учитель_Інформатика_74,Інформатика,3-Д,2,1,2,it
Учитель_Укр. мова_25,Укр. мова,3-Е,3,1,whole,standard
Учитель_Математика_167,Математика,3-Е,4,1,whole,standard
Учитель_Англ. мова_132,Англ. мова,3-Е,3,1,1,standard
Учитель_Англ. мова_113,Англ. мова,3-Е,3,1,2,standard
Учитель_Фізична культура_117,Фізична культура,3-Е,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,3-Е,2,1,1,it
Учитель_Інформатика_151,Інформатика,3-Е,2,1,2,it
Учитель_Укр. мова_36,Укр. мова,3-Ж,3,1,whole,standard
Учитель_Математика_168,Математика,3-Ж,4,1,whole,standard
Учитель_Англ. мова_97,Англ. мова,3-Ж,3,1,1,standard
Учитель_Англ. мова_83,Англ. мова,3-Ж,3,1,2,standard
Учитель_Фізична культура_115,Фізична культура,3-Ж,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,3-Ж,2,1,1,it
Учитель_Інформатика_155,Інформатика,3-Ж,2,1,2,it
Учитель_Укр. мова_48,Укр. мова,3-З,3,1,whole,standard
Учитель_Математика_168,Математика,3-З,4,1,whole,standard
Учитель_Англ. мова_79,Англ. мова,3-З,3,1,1,standard
Учитель_Англ. мова_77,Англ. мова,3-З,3,1,2,standard
Учитель_Фізична культура_104,Фізична культура,3-З,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,3-З,2,1,1,it
Учитель_Інформатика_154,Інформатика,3-З,2,1,2,it
Учитель_Укр. мова_50,Укр. мова,3-И,3,1,whole,standard
Учитель_Математика_167,Математика,3-И,4,1,whole,standard
Учитель_Англ. мова_66,Англ. мова,3-И,3,1,1,standard
Учитель_Англ. мова_18,Англ. мова,3-И,3,1,2,standard
Учитель_Фізична культура_87,Фізична культура,3-И,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,3-И,2,1,1,it
Учитель_Інформатика_100,Інформатика,3-И,2,1,2,it
Учитель_Укр. мова_131,Укр. мова,3-К,3,1,whole,standard
Учитель_Математика_142,Математика,3-К,4,1,whole,standard
Учитель_Англ. мова_13,Англ. мова,3-К,3,1,1,standard
Учитель_Англ. мова_8,Англ. мова,3-К,3,1,2,standard
Учитель_Фізична культура_53,Фізична культура,3-К,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,3-К,2,1,1,it
Учитель_Інформатика_19,Інформатика,3-К,2,1,2,it
Учитель_Укр. мова_149,Укр. мова,4-А,3,1,whole,standard
Учитель_Математика_101,Математика,4-А,4,1,whole,standard
Учитель_Англ. мова_8,Англ. мова,4-А,3,1,1,standard
Учитель_Англ. мова_13,Англ. мова,4-А,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,4-А,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,4-А,2,1,1,it
Учитель_Інформатика_74,Інформатика,4-А,2,1,2,it
Учитель_Укр. мова_166,Укр. мова,4-Б,3,1,whole,standard
Учитель_Математика_47,Математика,4-Б,4,1,whole,standard
Учитель_Англ. мова_18,Англ. мова,4-Б,3,1,1,standard
Учитель_Англ. мова_66,Англ. мова,4-Б,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,4-Б,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,4-Б,2,1,1,it
Учитель_Інформатика_151,Інформатика,4-Б,2,1,2,it
Учитель_Укр. мова_170,Укр. мова,4-В,3,1,whole,standard
Учитель_Математика_21,Математика,4-В,4,1,whole,standard
Учитель_Англ. мова_77,Англ. мова,4-В,3,1,1,standard
Учитель_Англ. мова_79,Англ. мова,4-В,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,4-В,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,4-В,2,1,1,it
Учитель_Інформатика_155,Інформатика,4-В,2,1,2,it
Учитель_Укр. мова_170,Укр. мова,4-Г,3,1,whole,standard
Учитель_Математика_14,Математика,4-Г,4,1,whole,standard
Учитель_Англ. мова_83,Англ. мова,4-Г,3,1,1,standard
Учитель_Англ. мова_97,Англ. мова,4-Г,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,4-Г,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,4-Г,2,1,1,it
Учитель_Інформатика_154,Інформатика,4-Г,2,1,2,it
Учитель_Укр. мова_166,Укр. мова,4-Д,3,1,whole,standard
Учитель_Математика_5,Математика,4-Д,4,1,whole,standard
Учитель_Англ. мова_113,Англ. мова,4-Д,3,1,1,standard
Учитель_Англ. мова_132,Англ. мова,4-Д,3,1,2,standard
Учитель_Фізична культура_53,Фізична культура,4-Д,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,4-Д,2,1,1,it
Учитель_Інформатика_100,Інформатика,4-Д,2,1,2,it
Учитель_Укр. мова_149,Укр. мова,4-Е,3,1,whole,standard
Учитель_Математика_4,Математика,4-Е,4,1,whole,standard
Учитель_Англ. мова_136,Англ. мова,4-Е,3,1,1,standard
Учитель_Англ. мова_140,Англ. мова,4-Е,3,1,2,standard
Учитель_Фізична культура_87,Фізична культура,4-Е,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,4-Е,2,1,1,it
Учитель_Інформатика_19,Інформатика,4-Е,2,1,2,it
Учитель_Укр. мова_131,Укр. мова,4-Ж,3,1,whole,standard
Учитель_Математика_4,Математика,4-Ж,4,1,whole,standard
Учитель_Англ. мова_144,Англ. мова,4-Ж,3,1,1,standard
Учитель_Англ. мова_146,Англ. мова,4-Ж,3,1,2,standard
Учитель_Фізична культура_104,Фізична культура,4-Ж,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,4-Ж,2,1,1,it
Учитель_Інформатика_74,Інформатика,4-Ж,2,1,2,it
Учитель_Укр. мова_50,Укр. мова,4-З,3,1,whole,standard
Учитель_Математика_5,Математика,4-З,4,1,whole,standard
Учитель_Англ. мова_156,Англ. мова,4-З,3,1,1,standard
Учитель_Англ. мова_156,Англ. мова,4-З,3,1,2,standard
Учитель_Фізична культура_115,Фізична культура,4-З,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,4-З,2,1,1,it
Учитель_Інформатика_151,Інформатика,4-З,2,1,2,it
Учитель_Укр. мова_48,Укр. мова,4-И,3,1,whole,standard
Учитель_Математика_14,Математика,4-И,4,1,whole,standard
Учитель_Англ. мова_146,Англ. мова,4-И,3,1,1,standard
Учитель_Англ. мова_144,Англ. мова,4-И,3,1,2,standard
Учитель_Фізична культура_117,Фізична культура,4-И,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,4-И,2,1,1,it
Учитель_Інформатика_155,Інформатика,4-И,2,1,2,it
Учитель_Укр. мова_36,Укр. мова,4-К,3,1,whole,standard
Учитель_Математика_21,Математика,4-К,4,1,whole,standard
Учитель_Англ. мова_140,Англ. мова,4-К,3,1,1,standard
Учитель_Англ. мова_136,Англ. мова,4-К,3,1,2,standard
Учитель_Фізична культура_128,Фізична культура,4-К,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,4-К,2,1,1,it
Учитель_Інформатика_154,Інформатика,4-К,2,1,2,it
Учитель_Укр. мова_25,Укр. мова,5-А,3,1,whole,standard
Учитель_Математика_47,Математика,5-А,4,1,whole,standard
Учитель_Англ. мова_132,Англ. мова,5-А,3,1,1,standard
Учитель_Англ. мова_113,Англ. мова,5-А,3,1,2,standard
Учитель_Фізична культура_128,Фізична культура,5-А,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,5-А,2,1,1,it
Учитель_Інформатика_100,Інформатика,5-А,2,1,2,it
Учитель_Укр. мова_24,Укр. мова,5-Б,3,1,whole,standard
Учитель_Математика_101,Математика,5-Б,4,1,whole,standard
Учитель_Англ. мова_97,Англ. мова,5-Б,3,1,1,standard
Учитель_Англ. мова_83,Англ. мова,5-Б,3,1,2,standard
Учитель_Фізична культура_117,Фізична культура,5-Б,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,5-Б,2,1,1,it
Учитель_Інформатика_19,Інформатика,5-Б,2,1,2,it
Учитель_Укр. мова_23,Укр. мова,5-В,3,1,whole,standard
Учитель_Математика_142,Математика,5-В,4,1,whole,standard
Учитель_Англ. мова_79,Англ. мова,5-В,3,1,1,standard
Учитель_Англ. мова_77,Англ. мова,5-В,3,1,2,standard
Учитель_Фізична культура_115,Фізична культура,5-В,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,5-В,2,1,1,it
Учитель_Інформатика_74,Інформатика,5-В,2,1,2,it
Учитель_Укр. мова_1,Укр. мова,5-Г,3,1,whole,standard
Учитель_Математика_167,Математика,5-Г,4,1,whole,standard
Учитель_Англ. мова_66,Англ. мова,5-Г,3,1,1,standard
Учитель_Англ. мова_18,Англ. мова,5-Г,3,1,2,standard
Учитель_Фізична культура_104,Фізична культура,5-Г,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,5-Г,2,1,1,it
Учитель_Інформатика_151,Інформатика,5-Г,2,1,2,it
Учитель_Укр. мова_1,Укр. мова,5-Д,3,1,whole,standard
Учитель_Математика_168,Математика,5-Д,4,1,whole,standard
Учитель_Англ. мова_13,Англ. мова,5-Д,3,1,1,standard
Учитель_Англ. мова_8,Англ. мова,5-Д,3,1,2,standard
Учитель_Фізична культура_87,Фізична культура,5-Д,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,5-Д,2,1,1,it
Учитель_Інформатика_155,Інформатика,5-Д,2,1,2,it
Учитель_Укр. мова_23,Укр. мова,5-Е,3,1,whole,standard
Учитель_Математика_168,Математика,5-Е,4,1,whole,standard
Учитель_Англ. мова_8,Англ. мова,5-Е,3,1,1,standard
Учитель_Англ. мова_13,Англ. мова,5-Е,3,1,2,standard
Учитель_Фізична культура_53,Фізична культура,5-Е,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,5-Е,2,1,1,it
Учитель_Інформатика_154,Інформатика,5-Е,2,1,2,it
Учитель_Укр. мова_24,Укр. мова,5-Ж,3,1,whole,standard
Учитель_Математика_167,Математика,5-Ж,4,1,whole,standard
Учитель_Англ. мова_18,Англ. мова,5-Ж,3,1,1,standard
Учитель_Англ. мова_66,Англ. мова,5-Ж,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,5-Ж,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,5-Ж,2,1,1,it
Учитель_Інформатика_100,Інформатика,5-Ж,2,1,2,it
Учитель_Укр. мова_25,Укр. мова,5-З,3,1,whole,standard
Учитель_Математика_142,Математика,5-З,4,1,whole,standard
Учитель_Англ. мова_77,Англ. мова,5-З,3,1,1,standard
Учитель_Англ. мова_79,Англ. мова,5-З,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,5-З,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,5-З,2,1,1,it
Учитель_Інформатика_19,Інформатика,5-З,2,1,2,it
Учитель_Укр. мова_36,Укр. мова,5-И,3,1,whole,standard
Учитель_Математика_101,Математика,5-И,4,1,whole,standard
Учитель_Англ. мова_83,Англ. мова,5-И,3,1,1,standard
Учитель_Англ. мова_97,Англ. мова,5-И,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,5-И,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,5-И,2,1,1,it
Учитель_Інформатика_74,Інформатика,5-И,2,1,2,it
Учитель_Укр. мова_48,Укр. мова,5-К,3,1,whole,standard
Учитель_Математика_47,Математика,5-К,4,1,whole,standard
Учитель_Англ. мова_113,Англ. мова,5-К,3,1,1,standard
Учитель_Англ. мова_132,Англ. мова,5-К,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,5-К,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,5-К,2,1,1,it
Учитель_Інформатика_151,Інформатика,5-К,2,1,2,it
Учитель_Укр. мова_50,Укр. мова,6-А,3,2,whole,standard
Учитель_Математика_21,Математика,6-А,4,2,whole,standard
Учитель_Англ. мова_136,Англ. мова,6-А,3,2,1,standard
Учитель_Англ. мова_140,Англ. мова,6-А,3,2,2,standard
Учитель_Фізична культура_53,Фізична культура,6-А,3,2,whole,gym
Учитель_Інформатика_154,Інформатика,6-А,2,2,1,it
Учитель_Інформатика_155,Інформатика,6-А,2,2,2,it
Учитель_Укр. мова_131,Укр. мова,6-Б,3,2,whole,standard
Учитель_Математика_14,Математика,6-Б,4,2,whole,standard
Учитель_Англ. мова_144,Англ. мова,6-Б,3,2,1,standard
Учитель_Англ. мова_146,Англ. мова,6-Б,3,2,2,standard
Учитель_Фізична культура_87,Фізична культура,6-Б,3,2,whole,gym
Учитель_Інформатика_155,Інформатика,6-Б,2,2,1,it
Учитель_Інформатика_154,Інформатика,6-Б,2,2,2,it
Учитель_Укр. мова_149,Укр. мова,6-В,3,2,whole,standard
Учитель_Математика_5,Математика,6-В,4,2,whole,standard
Учитель_Англ. мова_156,Англ. мова,6-В,3,2,1,standard
Учитель_Англ. мова_156,Англ. мова,6-В,3,2,2,standard
Учитель_Фізична культура_104,Фізична культура,6-В,3,2,whole,gym
Учитель_Інформатика_151,Інформатика,6-В,2,2,1,it
Учитель_Інформатика_100,Інформатика,6-В,2,2,2,it
Учитель_Укр. мова_166,Укр. мова,6-Г,3,2,whole,standard
Учитель_Математика_4,Математика,6-Г,4,2,whole,standard
Учитель_Англ. мова_146,Англ. мова,6-Г,3,2,1,standard
Учитель_Англ. мова_144,Англ. мова,6-Г,3,2,2,standard
Учитель_Фізична культура_115,Фізична культура,6-Г,3,2,whole,gym
Учитель_Інформатика_74,Інформатика,6-Г,2,2,1,it
Учитель_Інформатика_19,Інформатика,6-Г,2,2,2,it
Учитель_Укр. мова_170,Укр. мова,6-Д,3,2,whole,standard
Учитель_Математика_4,Математика,6-Д,4,2,whole,standard
Учитель_Англ. мова_140,Англ. мова,6-Д,3,2,1,standard
Учитель_Англ. мова_136,Англ. мова,6-Д,3,2,2,standard
Учитель_Фізична культура_117,Фізична культура,6-Д,3,2,whole,gym
Учитель_Інформатика_19,Інформатика,6-Д,2,2,1,it
Учитель_Інформатика_74,Інформатика,6-Д,2,2,2,it
Учитель_Укр. мова_170,Укр. мова,6-Е,3,2,whole,standard
Учитель_Математика_5,Математика,6-Е,4,2,whole,standard
Учитель_Англ. мова_132,Англ. мова,6-Е,3,2,1,standard
Учитель_Англ. мова_113,Англ. мова,6-Е,3,2,2,standard
Учитель_Фізична культура_128,Фізична культура,6-Е,3,2,whole,gym
Учитель_Інформатика_100,Інформатика,6-Е,2,2,1,it
Учитель_Інформатика_151,Інформатика,6-Е,2,2,2,it
Учитель_Укр. мова_166,Укр. мова,6-Ж,3,2,whole,standard
Учитель_Математика_14,Математика,6-Ж,4,2,whole,standard
Учитель_Англ. мова_97,Англ. мова,6-Ж,3,2,1,standard
Учитель_Англ. мова_83,Англ. мова,6-Ж,3,2,2,standard
Учитель_Фізична культура_128,Фізична культура,6-Ж,3,2,whole,gym
Учитель_Інформатика_154,Інформатика,6-Ж,2,2,1,it
Учитель_Інформатика_155,Інформатика,6-Ж,2,2,2,it
Учитель_Укр. мова_149,Укр. мова,6-З,3,2,whole,standard
Учитель_Математика_21,Математика,6-З,4,2,whole,standard
Учитель_Англ. мова_79,Англ. мова,6-З,3,2,1,standard
Учитель_Англ. мова_77,Англ. мова,6-З,3,2,2,standard
Учитель_Фізична культура_117,Фізична культура,6-З,3,2,whole,gym
Учитель_Інформатика_155,Інформатика,6-З,2,2,1,it
Учитель_Інформатика_154,Інформатика,6-З,2,2,2,it
Учитель_Укр. мова_131,Укр. мова,6-И,3,2,whole,standard
Учитель_Математика_47,Математика,6-И,4,2,whole,standard
Учитель_Англ. мова_66,Англ. мова,6-И,3,2,1,standard
Учитель_Англ. мова_18,Англ. мова,6-И,3,2,2,standard
Учитель_Фізична культура_115,Фізична культура,6-И,3,2,whole,gym
Учитель_Інформатика_151,Інформатика,6-И,2,2,1,it
Учитель_Інформатика_100,Інформатика,6-И,2,2,2,it
Учитель_Укр. мова_50,Укр. мова,6-К,3,2,whole,standard
Учитель_Математика_101,Математика,6-К,4,2,whole,standard
Учитель_Англ. мова_13,Англ. мова,6-К,3,2,1,standard
Учитель_Англ. мова_8,Англ. мова,6-К,3,2,2,standard
Учитель_Фізична культура_104,Фізична культура,6-К,3,2,whole,gym
